    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  8.1000e+00  1.5294e+00  1.6614e+00  1.3883e-02 -1.2634e+00 -5.4666e-01  3.5944e-01  7.0501e-02  1.7932e-01  5.4218e+00  2.9522e-01  1.9951e+00  2.4755e+00  1.1123e-01  1.0187e-01  7.5099e-02  4.6303e-02  2.0797e-02  2.4927e-03  9.4073e-02  1.5357e+00  1.3597e+00  7.8511e+00  7.5776e+00  5.9922e+00  5.8727e+00  4.2913e-01  1.0281e+00  1.2109e+00  2.6726e-01  9.6497e-01
  8.2000e+00  1.5241e+00  1.6577e+00  1.8087e-02 -1.2103e+00 -6.1089e-01  2.9733e-01  1.0420e-01  1.6940e-01  5.3392e+00  2.6774e-01  1.9952e+00  2.4771e+00  1.5016e-01  1.4373e-01  1.0276e-01  6.4738e-02  2.6867e-02  2.8121e-03  9.7319e-02  1.5352e+00  1.3592e+00  8.0366e+00  7.6797e+00  6.1447e+00  5.9428e+00  4.4644e-01  1.0619e+00  1.1541e+00  2.3019e-01  9.7559e-01
  8.3000e+00  1.5113e+00  1.6485e+00  1.6357e-02 -1.4038e+00 -7.8899e-01  2.5459e-01  8.3850e-02  1.4305e-01  5.7908e+00  2.1995e-01  1.9950e+00  2.4760e+00  1.2864e-01  1.1850e-01  8.5461e-02  5.3972e-02  2.3373e-02  2.6487e-03  8.6066e-02  1.5354e+00  1.3594e+00  8.5784e+00  8.3069e+00  6.5210e+00  6.3439e+00  4.6058e-01  1.0913e+00  1.2569e+00  2.0389e-01  9.8026e-01
  8.4000e+00  1.5054e+00  1.6441e+00  1.9191e-02 -1.4122e+00 -8.7122e-01  2.0845e-01  9.9870e-02  1.2711e-01  5.8212e+00  1.9675e-01  1.9949e+00  2.4766e+00  1.4855e-01  1.3754e-01  9.7303e-02  6.2610e-02  2.6265e-02  2.8748e-03  8.6553e-02  1.5352e+00  1.3592e+00  8.8039e+00  8.4958e+00  6.6814e+00  6.4577e+00  4.6529e-01  1.1010e+00  1.2358e+00  1.8220e-01  9.8846e-01
  8.5000e+00  1.4927e+00  1.6367e+00  1.5910e-02 -1.6182e+00 -1.0217e+00  1.5137e-01  7.1499e-02  1.0073e-01  6.4272e+00  1.4069e-01  1.9951e+00  2.4753e+00  1.1563e-01  1.0141e-01  7.2998e-02  4.6974e-02  2.1119e-02  2.5727e-03  6.9467e-02  1.5355e+00  1.3595e+00  9.3399e+00  9.1556e+00  7.1163e+00  6.9414e+00  5.2706e-01  1.2237e+00  1.4586e+00  1.4948e-01  9.9162e-01
  8.6000e+00  1.4847e+00  1.6299e+00  1.9518e-02 -1.6569e+00 -1.1332e+00  1.2050e-01  8.7685e-02  8.8013e-02  6.4583e+00  1.2731e-01  1.9945e+00  2.4757e+00  1.3867e-01  1.2016e-01  8.5034e-02  5.4901e-02  2.3467e-02  2.7228e-03  7.2456e-02  1.5353e+00  1.3593e+00  9.6582e+00  9.4252e+00  7.3012e+00  7.0756e+00  5.1498e-01  1.1978e+00  1.4010e+00  1.5622e-01  1.0020e+00
  8.7000e+00  1.4660e+00  1.6150e+00  1.9455e-02 -1.9451e+00 -1.3982e+00  9.3769e-02  6.8610e-02  6.8040e-02  6.9946e+00  8.8103e-02  1.9934e+00  2.4741e+00  1.2386e-01  9.3737e-02  6.7856e-02  4.2632e-02  1.8711e-02  2.3482e-03  6.1927e-02  1.5355e+00  1.3594e+00  1.0449e+01  1.0290e+01  7.7763e+00  7.5689e+00  5.3601e-01  1.2399e+00  1.5502e+00  1.7795e-01  1.0122e+00
  8.8000e+00  1.4622e+00  1.6123e+00  2.2392e-02 -1.9345e+00 -1.4220e+00  7.4348e-02  8.1702e-02  6.4881e-02  6.9974e+00  8.4212e-02  1.9931e+00  2.4744e+00  1.4163e-01  1.0780e-01  7.6910e-02  4.7960e-02  2.0056e-02  2.3962e-03  6.4178e-02  1.5353e+00  1.3592e+00  1.0598e+01  1.0390e+01  7.8922e+00  7.6418e+00  5.3631e-01  1.2355e+00  1.5168e+00  1.9765e-01  1.0190e+00
  8.9000e+00  1.4583e+00  1.6067e+00  3.1458e-02 -1.8999e+00 -1.5012e+00  6.0563e-02  1.0647e-01  5.7697e-02  6.7508e+00  8.3585e-02  1.9919e+00  2.4748e+00  1.8418e-01  1.3023e-01  9.1251e-02  5.5669e-02  2.1207e-02  2.3244e-03  6.9874e-02  1.5350e+00  1.3588e+00  1.0737e+01  1.0401e+01  7.8924e+00  7.5515e+00  5.1037e-01  1.1681e+00  1.4036e+00  3.0621e-01  1.0346e+00
  9.0000e+00  1.4607e+00  1.6076e+00  3.5126e-02 -1.7961e+00 -1.4706e+00  5.7633e-02  1.2417e-01  5.8691e-02  6.5249e+00  8.8154e-02  1.9917e+00  2.4753e+00  2.0746e-01  1.4918e-01  1.0294e-01  6.2805e-02  2.2324e-02  2.3416e-03  7.5970e-02  1.5349e+00  1.3586e+00  1.0623e+01  1.0198e+01  7.7975e+00  7.4005e+00  4.7942e-01  1.1059e+00  1.3164e+00  3.6842e-01  1.0396e+00
  9.1000e+00  1.4556e+00  1.5998e+00  4.0441e-02 -1.9384e+00 -1.6638e+00  5.3729e-02  1.1129e-01  4.1237e-02  6.4938e+00  5.9480e-02  1.9904e+00  2.4745e+00  2.1874e-01  1.3731e-01  9.4230e-02  5.7857e-02  1.8993e-02  2.0879e-03  7.8038e-02  1.5349e+00  1.3587e+00  1.0822e+01  1.0422e+01  7.7661e+00  7.3776e+00  4.2356e-01  9.9600e-01  1.2589e+00  5.1281e-01  1.0493e+00
  9.2000e+00  1.4553e+00  1.5977e+00  4.5861e-02 -1.9972e+00 -1.7349e+00  4.3203e-02  1.0136e-01  2.6627e-02  6.4432e+00  3.4920e-02  1.9896e+00  2.4738e+00  2.3044e-01  1.2428e-01  8.4860e-02  5.1493e-02  1.5205e-02  1.7399e-03  7.6515e-02  1.5350e+00  1.3586e+00  1.0821e+01  1.0432e+01  7.6886e+00  7.3057e+00  4.1103e-01  9.6046e-01  1.2664e+00  6.8729e-01  1.0566e+00
  9.3000e+00  1.4615e+00  1.6011e+00  5.4674e-02 -1.8788e+00 -1.6790e+00  3.4263e-02  1.1534e-01  2.0668e-02  6.1416e+00  3.3275e-02  1.9891e+00  2.4743e+00  2.6154e-01  1.3562e-01  9.1626e-02  5.5877e-02  1.5644e-02  1.7316e-03  8.0914e-02  1.5348e+00  1.3584e+00  1.0536e+01  1.0073e+01  7.4591e+00  7.0388e+00  4.2629e-01  9.7345e-01  1.2329e+00  9.1930e-01  1.0655e+00
  9.4000e+00  1.4679e+00  1.6043e+00  6.4053e-02 -1.7127e+00 -1.6357e+00  3.1805e-02  1.3168e-01  1.7091e-02  5.8044e+00  3.3854e-02  1.9887e+00  2.4749e+00  2.9276e-01  1.5268e-01  1.0232e-01  6.2701e-02  1.6383e-02  1.7304e-03  8.9382e-02  1.5346e+00  1.3583e+00  1.0231e+01  9.6740e+00  7.1967e+00  6.7327e+00  4.0964e-01  9.3653e-01  1.1603e+00  1.1307e+00  1.0746e+00
  9.5000e+00  1.4804e+00  1.6124e+00  7.6628e-02 -1.4499e+00 -1.5145e+00  3.0601e-02  1.4963e-01  1.3418e-02  5.3642e+00  3.5409e-02  1.9884e+00  2.4757e+00  3.2801e-01  1.6877e-01  1.1256e-01  6.8811e-02  1.6747e-02  1.6871e-03  9.8227e-02  1.5345e+00  1.3581e+00  9.6455e+00  8.9910e+00  6.7662e+00  6.2682e+00  3.9249e-01  8.9537e-01  1.0859e+00  1.3792e+00  1.0826e+00
  9.6000e+00  1.4995e+00  1.6269e+00  9.1215e-02 -1.1147e+00 -1.2564e+00  3.4019e-02  1.7190e-01  1.6776e-02  4.8853e+00  4.5685e-02  1.9889e+00  2.4772e+00  3.6542e-01  1.9030e-01  1.2594e-01  7.7494e-02  1.8043e-02  1.7317e-03  1.0910e-01  1.5343e+00  1.3579e+00  8.7688e+00  8.0386e+00  6.2310e+00  5.7048e+00  3.7338e-01  8.5512e-01  1.0059e+00  1.6076e+00  1.0849e+00
  9.7000e+00  1.5031e+00  1.6329e+00  9.5391e-02 -1.2580e+00 -1.1905e+00  2.7789e-02  1.2756e-01  9.2939e-03  5.2047e+00  1.8534e-02  1.9899e+00  2.4770e+00  3.4472e-01  1.5610e-01  1.0555e-01  6.5426e-02  1.4280e-02  1.4602e-03  1.1351e-01  1.5345e+00  1.3580e+00  8.6461e+00  8.1472e+00  6.2773e+00  5.8781e+00  3.8146e-01  8.8368e-01  1.0900e+00  1.4610e+00  1.0703e+00
  9.8000e+00  1.5614e+00  1.6750e+00  1.4131e-01 -1.7966e-01 -4.1345e-01  4.8232e-02  2.2591e-01  3.0682e-02  3.5847e+00  6.9705e-02  1.9913e+00  2.4821e+00  4.6995e-01  2.3932e-01  1.5680e-01  9.7408e-02  1.9785e-02  1.7243e-03  1.4112e-01  1.5339e+00  1.3575e+00  5.8509e+00  5.0244e+00  4.5396e+00  3.9772e+00  3.2832e-01  7.5490e-01  8.1023e-01  2.2789e+00  1.0830e+00
  9.9000e+00  1.5785e+00  1.6876e+00  1.5436e-01  3.9728e-02 -2.0410e-01  5.3451e-02  2.3726e-01  3.5116e-02  3.2100e+00  7.4773e-02  1.9918e+00  2.4833e+00  4.9524e-01  2.4967e-01  1.6211e-01  1.0099e-01  2.0104e-02  1.7181e-03  1.4738e-01  1.5338e+00  1.3575e+00  5.0096e+00  4.1842e+00  4.0310e+00  3.4719e+00  3.1928e-01  7.3344e-01  7.6719e-01  2.5101e+00  1.0812e+00
  1.0000e+01  1.5852e+00  1.6952e+00  1.7289e-01 -1.4801e-01 -1.1401e-01  5.3470e-02  1.8129e-01  2.8423e-02  3.3297e+00  3.6108e-02  1.9939e+00  2.4847e+00  5.0351e-01  2.1708e-01  1.4611e-01  9.1576e-02  1.4742e-02  1.2698e-03  1.7428e-01  1.5340e+00  1.3576e+00  4.7464e+00  4.1523e+00  3.9577e+00  3.5135e+00  3.0153e-01  7.1041e-01  7.6187e-01  2.2494e+00  1.0629e+00
  1.0100e+01  1.6214e+00  1.7144e+00  1.9823e-01  9.1143e-01  2.6305e-01  7.9473e-02  3.3681e-01  5.2714e-02  1.9536e+00  1.1068e-01  1.9920e+00  2.4870e+00  6.0113e-01  3.2281e-01  2.0677e-01  1.2861e-01  2.4337e-02  1.9280e-03  1.7223e-01  1.5335e+00  1.3571e+00  2.7048e+00  1.6331e+00  2.4462e+00  1.7763e+00  2.9647e-01  6.8182e-01  6.3446e-01  3.8289e+00  1.1093e+00
  1.0200e+01  1.6312e+00  1.7222e+00  2.7751e-01  9.1447e-01  4.1163e-01  9.7871e-02  3.0211e-01  4.6841e-02  1.8019e+00  4.9748e-02  1.9963e+00  2.4944e+00  7.2705e-01  3.4417e-01  2.2926e-01  1.4830e-01  1.9759e-02  1.5604e-03  2.7015e-01  1.5335e+00  1.3571e+00  2.1973e+00  1.1994e+00  2.1604e+00  1.4861e+00  2.8590e-01  7.0313e-01  6.2930e-01  4.1370e+00  1.1029e+00
  1.0300e+01  1.6434e+00  1.7289e+00  3.0395e-01  1.1239e+00  5.2447e-01  1.0777e-01  3.2430e-01  4.7495e-02  1.4608e+00  4.5491e-02  1.9966e+00  2.4962e+00  7.7545e-01  3.6677e-01  2.4313e-01  1.5818e-01  1.9784e-02  1.5291e-03  2.8840e-01  1.5335e+00  1.3570e+00  1.4983e+00  4.7478e-01  1.6533e+00  9.6819e-01  2.7978e-01  6.9272e-01  5.9922e-01  4.9408e+00  1.1150e+00
  1.0400e+01  1.6456e+00  1.7302e+00  3.0144e-01  1.2703e+00  5.6317e-01  1.1923e-01  3.4976e-01  5.8622e-02  1.3767e+00  7.0624e-02  1.9963e+00  2.4960e+00  7.6924e-01  3.7886e-01  2.5119e-01  1.6210e-01  2.2427e-02  1.7489e-03  2.8243e-01  1.5334e+00  1.3570e+00  1.3731e+00  2.6307e-01  1.5611e+00  8.3890e-01  2.8727e-01  7.0527e-01  6.0258e-01  4.7633e+00  1.1193e+00
  1.0500e+01  1.6525e+00  1.7341e+00  2.6868e-01  9.9195e-01  5.1339e-01  8.9700e-02  2.9590e-01  3.4697e-02  1.3050e+00  3.6916e-02  1.9943e+00  2.4919e+00  7.1774e-01  3.3374e-01  2.1060e-01  1.3684e-01  1.7361e-02  1.2933e-03  2.3746e-01  1.5335e+00  1.3570e+00  1.0133e+00  2.4158e-01  1.2854e+00  7.6459e-01  2.5757e-01  6.1855e-01  5.3854e-01  5.6132e+00  1.1093e+00
  1.0600e+01  1.6616e+00  1.7375e+00  3.7047e-01  2.3816e+00  7.7001e-01  1.1554e-01  5.0840e-01  7.6834e-02  8.0553e-01  1.1866e-01  1.9970e+00  2.5008e+00  8.6430e-01  4.7175e-01  3.1603e-01  2.0297e-01  3.1089e-02  2.4512e-03  3.1122e-01  1.5331e+00  1.3567e+00  1.9101e-01 -1.4729e+00  7.0861e-01 -2.9514e-01  3.0959e-01  7.5903e-01  6.2457e-01  7.4466e+00  1.1907e+00
  1.0700e+01  1.6667e+00  1.7408e+00  4.3717e-01  2.0380e+00  7.9807e-01  1.1689e-01  4.3149e-01  1.3096e-02  7.4817e-01  2.6860e-02  2.0005e+00  2.5066e+00  9.7818e-01  4.7198e-01  3.2083e-01  2.1373e-01  2.3060e-02  2.0085e-03  3.9181e-01  1.5332e+00  1.3567e+00 -3.5087e-02 -1.4397e+00  5.6336e-01 -3.5101e-01  2.9462e-01  7.6128e-01  6.1549e-01  6.8772e+00  1.1680e+00
  1.0800e+01  1.6634e+00  1.7379e+00  3.0074e-01  1.7442e+00  6.4987e-01  9.7837e-02  4.2048e-01  3.4066e-02  8.4694e-01  8.7428e-02  1.9939e+00  2.4943e+00  7.7744e-01  4.0524e-01  2.6019e-01  1.6705e-01  2.4433e-02  1.9047e-03  2.4789e-01  1.5332e+00  1.3568e+00  2.2474e-01 -9.5470e-01  6.7218e-01 -4.0785e-02  2.8068e-01  6.6972e-01  5.5890e-01  7.8210e+00  1.1595e+00
  1.0900e+01  1.6661e+00  1.7412e+00  4.6354e-01  2.2574e+00  8.5432e-01  1.2717e-01  4.6823e-01  5.1289e-02  7.2411e-01  2.6070e-02  2.0013e+00  2.5091e+00  1.0240e+00  4.9573e-01  3.4284e-01  2.2638e-01  2.2517e-02  1.6924e-03  4.2378e-01  1.5332e+00  1.3566e+00 -7.3518e-02 -1.6569e+00  5.7186e-01 -4.4904e-01  3.0127e-01  7.7542e-01  6.2732e-01  1.0186e+01  1.1958e+00
  1.1000e+01  1.6674e+00  1.7402e+00  6.2590e-01  2.5705e+00  9.6655e-01  1.3523e-01  3.8012e-01  2.7904e-02  6.3858e-01 -9.5887e-02  2.0044e+00  2.5176e+00  1.2516e+00  5.2885e-01  3.6093e-01  2.4727e-01  1.5332e-02  1.0547e-03  5.0479e-01  1.5332e+00  1.3565e+00 -3.7767e-01 -2.2033e+00  4.2692e-01 -8.1450e-01  2.9308e-01  8.3460e-01  6.5095e-01  1.1471e+01  1.2073e+00
