    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  8.3000e+00  1.5090e+00  1.6618e+00  2.2186e-01 -6.2662e-01  4.9091e-01  2.8271e-01  1.7412e+00  6.6922e-01  6.1916e+00  2.4026e+00  2.0246e+00  2.5538e+00  1.3023e+00  1.0921e+00  1.1993e+00  9.3188e-01  6.5098e-01  4.2423e-01  7.2513e-01  1.5671e+00  1.4222e+00  8.6850e+00  8.2563e+00  6.7753e+00  6.6061e+00  1.3700e+00  3.6067e+00  3.2630e+00  3.6081e+00  1.0774e+00
  8.4000e+00  1.4962e+00  1.6522e+00  2.3321e-01 -6.7449e-01  4.3755e-01  2.6580e-01  1.8185e+00  6.2134e-01  6.4746e+00  2.3794e+00  2.0215e+00  2.5521e+00  1.3549e+00  1.0858e+00  1.1824e+00  8.9955e-01  6.4097e-01  4.1295e-01  6.6698e-01  1.5627e+00  1.4145e+00  9.2275e+00  8.7973e+00  7.1172e+00  6.9248e+00  1.3376e+00  3.5084e+00  3.2044e+00  4.4627e+00  1.1000e+00
  8.5000e+00  1.4756e+00  1.6350e+00  2.5811e-01 -9.4677e-01  2.4876e-01  2.4836e-01  1.8689e+00  5.6869e-01  6.8594e+00  2.3316e+00  2.0202e+00  2.5571e+00  1.4715e+00  1.1129e+00  1.2225e+00  8.9058e-01  6.4460e-01  3.9109e-01  7.6332e-01  1.5722e+00  1.4297e+00  1.0072e+01  9.6619e+00  7.5957e+00  7.3680e+00  1.3400e+00  3.5420e+00  3.2479e+00  5.5580e+00  1.1227e+00
  8.6000e+00  1.4728e+00  1.6315e+00  3.3181e-01 -7.3072e-01  3.0192e-01  3.3977e-01  2.2703e+00  7.4768e-01  6.5899e+00  2.7615e+00  2.0283e+00  2.5793e+00  1.7708e+00  1.3735e+00  1.4463e+00  1.0435e+00  7.6105e-01  4.3069e-01  9.6432e-01  1.5898e+00  1.4580e+00  1.0177e+01  9.5991e+00  7.4937e+00  7.1637e+00  1.4287e+00  3.7607e+00  3.3001e+00  7.0640e+00  1.1746e+00
  8.7000e+00  1.4775e+00  1.6353e+00  4.3227e-01 -5.2351e-01  4.0060e-01  4.6773e-01  2.7402e+00  9.0868e-01  6.1652e+00  3.2899e+00  2.0450e+00  2.6161e+00  2.1794e+00  1.7377e+00  1.7923e+00  1.2923e+00  9.1872e-01  5.1893e-01  1.3875e+00  1.6093e+00  1.4921e+00  1.0016e+01  9.2384e+00  7.2324e+00  6.7973e+00  1.5218e+00  4.0025e+00  3.3855e+00  8.7467e+00  1.2224e+00
  8.8000e+00  1.5156e+00  1.6699e+00  5.8577e-01  3.9429e-01  1.0698e+00  6.8179e-01  3.4640e+00  1.1870e+00  5.1663e+00  4.1419e+00  2.0693e+00  2.6581e+00  2.6463e+00  2.1780e+00  2.1702e+00  1.6128e+00  1.0998e+00  6.7530e-01  1.7492e+00  1.6102e+00  1.4992e+00  8.3956e+00  7.3303e+00  6.1789e+00  5.6585e+00  1.5830e+00  4.1523e+00  3.3886e+00  1.0527e+01  1.2870e+00
  8.9000e+00  1.5579e+00  1.7093e+00  7.4266e-01  1.2337e+00  1.8032e+00  8.7616e-01  4.0647e+00  1.4589e+00  4.3895e+00  4.8304e+00  2.0911e+00  2.6937e+00  3.0441e+00  2.5008e+00  2.4344e+00  1.8456e+00  1.2187e+00  7.7021e-01  2.0020e+00  1.6147e+00  1.5094e+00  6.5505e+00  5.3038e+00  5.1291e+00  4.5637e+00  1.6039e+00  4.2182e+00  3.3742e+00  1.2703e+01  1.3398e+00
  9.0000e+00  1.5839e+00  1.7277e+00  6.4526e-01  1.6755e+00  1.8534e+00  8.3202e-01  3.9227e+00  1.1984e+00  4.3273e+00  4.4130e+00  2.0658e+00  2.6509e+00  2.6986e+00  2.1994e+00  2.0600e+00  1.5386e+00  1.0610e+00  6.3990e-01  1.4570e+00  1.5932e+00  1.4708e+00  5.2048e+00  4.3889e+00  4.3268e+00  4.0968e+00  1.4968e+00  3.9331e+00  3.1679e+00  1.5750e+01  1.3590e+00
  9.1000e+00  1.6284e+00  1.7665e+00  8.3212e-01  2.9418e+00  2.6470e+00  1.0269e+00  4.4932e+00  1.6669e+00  3.4302e+00  5.1539e+00  2.0809e+00  2.6756e+00  3.0742e+00  2.4693e+00  2.2399e+00  1.7289e+00  1.1539e+00  6.9758e-01  1.5295e+00  1.5984e+00  1.4790e+00  2.9492e+00  1.7583e+00  2.9346e+00  2.6149e+00  1.4912e+00  3.9591e+00  3.1274e+00  1.8450e+01  1.4515e+00
  9.2000e+00  1.6412e+00  1.7753e+00  8.5159e-01  3.3815e+00  2.7546e+00  1.0104e+00  4.4337e+00  1.5349e+00  3.2435e+00  4.9356e+00  2.0709e+00  2.6555e+00  2.9516e+00  2.3250e+00  2.0434e+00  1.5870e+00  1.0643e+00  6.4572e-01  1.2181e+00  1.5802e+00  1.4481e+00  2.1978e+00  9.6579e-01  2.4528e+00  2.1865e+00  1.4054e+00  3.7471e+00  2.9455e+00  2.0360e+01  1.4706e+00
